Timestamp,How much energy do you gain from social interactions? (social_energy),How comfortable are you spending time alone? (alone_time_preference),How talkative are you in general? (talkativeness),How often do you engage in deep or introspective thinking? (deep_reflection),How comfortable are you in group settings? (group_comfort),How much do you enjoy parties or social events? (party_liking),How good are your active listening skills? (listening_skill),How well can you understand others' emotions? (empathy),How creative do you consider yourself? (creativity),How organized are you in your daily life? (organization),How comfortable are you taking on leadership roles? (leadership),How willing are you to take risks? (risk_taking),How comfortable are you with public speaking? (public_speaking_comfort),How curious are you to explore new ideas or topics? (curiosity),How much do you prefer a routine-based lifestyle? (routine_preference),How often do you seek new and exciting experiences? (excitement_seeking),How friendly and approachable are you? (friendliness),How calm and emotionally stable are you under stress? (emotional_stability),How much do you plan ahead before making decisions? (planning),How often do you act on impulse? (spontaneity),How adventurous are you? (adventurousness),How often do you read books or articles? (reading_habit),How interested are you in sports or physical activity? (sports_interest),How much time do you spend on social media or online platforms? (online_social_usage),How strong is your desire to travel and explore new places? (travel_desire),How frequently do you use gadgets or tech devices? (gadget_usage),How much do you prefer working in teams over working alone? (work_style_collaborative),How quickly do you usually make decisions? (decision_speed),How well do you manage stress in your life? (stress_handling),How would you describe your personality type? (personality_type_user)
7/1/2025 18:10:41,7,10,9,8,5,3,10,9,8,5,7,8,4,9,4,8,5,5,6,4,8,8,8,8,8,9,9,6,7,Introvert
7/1/2025 18:20:15,3,10,10,10,7,10,10,7,7,6,7,7,6,7,5,7,5,10,10,10,10,1,10,3,7,5,7,10,10,Ambivert
7/2/2025 10:08:22,6,8,5,7,5,4,6,6,5,6,5,6,5,7,6,7,6,5,7,5,5,5,5,7,7,8,7,7,5,Introvert
7/2/2025 10:32:13,4,10,6,6,5,4,8,9,10,5,8,7,5,10,10,10,10,3,4,5,9,3,4,9,10,10,10,6,3,Ambivert
7/2/2025 17:14:50,8,7,3,4,4,4,7,7,5,6,5,5,9,8,8,7,9,6,7,3,5,2,9,3,3,3,7,4,5,Ambivert
7/4/2025 18:50:37,10,6,10,9,9,9,8,10,9,8,8,6,7,10,6,9,10,3,8,7,7,7,8,7,10,9,9,6,6,Ambivert
7/7/2025 7:57:44,2,2,2,3,1,4,2,2,2,2,2,2,1,1,1,2,3,2,2,1,1,4,2,1,1,2,1,1,2,Introvert
7/7/2025 7:59:05,3,3,2,3,3,2,1,3,2,3,1,3,1,3,1,2,3,10,9,3,2,6,2,3,2,3,3,3,2,Introvert
7/7/2025 7:59:59,2,4,3,2,2,2,3,3,4,3,3,2,3,3,2,3,1,1,3,3,2,2,1,2,3,2,1,1,1,Introvert
7/7/2025 8:01:32,4,3,3,1,4,4,4,4,3,2,3,3,2,3,3,2,3,4,2,3,4,2,3,4,2,5,2,2,4,Introvert
7/7/2025 8:02:28,1,4,2,2,1,4,3,2,5,2,3,1,1,4,1,3,1,3,4,1,3,2,4,2,3,1,4,1,3,Introvert
7/7/2025 8:03:34,3,2,2,3,3,3,4,2,4,1,4,2,3,3,4,2,1,3,2,4,3,2,3,2,2,3,2,1,1,Introvert
7/7/2025 8:06:20,1,10,3,6,3,2,7,8,6,5,7,5,3,8,6,3,3,7,6,4,5,9,5,7,3,8,2,8,3,Introvert
7/7/2025 9:03:45,1,8,4,8,4,1,10,10,10,1,7,10,6,9,1,10,10,9,7,3,10,3,10,8,10,10,4,8,10,Introvert
7/7/2025 9:07:33,7,1,10,4,10,10,5,8,7,4,10,6,9,6,7,5,10,3,2,4,7,3,10,10,7,10,10,5,3,Extrovert
7/7/2025 9:08:52,2,9,2,8,10,2,7,7,8,6,2,5,8,9,9,3,2,8,8,3,4,5,2,4,8,7,3,5,5,Introvert
7/7/2025 9:30:51,5,6,6,6,7,5,7,5,7,5,6,7,7,5,4,9,5,5,6,5,6,8,6,4,4,6,7,4,6,Ambivert
7/7/2025 9:31:37,2,8,8,4,4,5,5,5,2,5,3,7,7,6,6,3,4,5,7,8,7,8,5,6,6,5,6,7,7,Ambivert
7/7/2025 9:32:19,5,5,6,4,3,6,5,7,4,6,7,4,5,6,3,6,3,5,7,4,6,7,6,6,6,8,3,5,5,Ambivert
7/7/2025 9:34:12,9,8,8,6,5,9,8,8,9,3,9,6,9,7,4,9,8,7,6,10,9,7,8,8,9,7,9,7,6,Extrovert
7/7/2025 9:37:43,7,3,7,7,5,5,7,7,8,7,6,8,8,9,8,8,7,3,7,9,8,2,6,7,9,8,8,6,5,Ambivert
7/7/2025 9:43:28,3,7,4,5,5,6,4,6,5,6,6,5,6,4,5,6,5,5,6,6,5,3,3,7,4,6,6,5,3,Ambivert
7/7/2025 9:44:51,10,5,10,8,8,8,8,9,8,6,5,8,7,5,8,10,10,5,8,8,8,10,10,8,10,8,9,8,7,Extrovert
7/7/2025 9:50:38,8,8,8,6,10,10,10,9,10,10,10,10,7,10,10,10,10,7,10,7,10,8,10,5,10,9,10,10,10,Extrovert
7/7/2025 9:57:12,8,9,8,8,7,7,7,8,8,6,8,8,7,8,3,7,10,8,7,7,8,1,4,9,10,10,7,7,7,Ambivert
7/7/2025 9:58:25,7,5,10,8,10,7,8,9,8,8,7,8,10,7,10,9,10,5,6,7,7,7,10,7,10,7,7,7,3,Ambivert
7/7/2025 9:59:23,5,7,6,8,4,4,5,7,7,4,6,5,3,6,4,7,8,6,4,6,7,3,5,8,9,8,4,6,5,Ambivert
7/7/2025 10:01:31,7,8,10,7,8,8,8,9,7,7,7,8,9,10,8,10,9,6,8,7,7,7,10,8,10,7,7,6,3,Ambivert
7/7/2025 10:01:45,7,10,9,5,8,8,7,8,7,6,5,8,7,8,8,9,10,7,5,5,9,5,9,8,9,6,5,8,6,Extrovert
7/7/2025 10:02:20,5,10,8,8,6,5,10,9,8,10,10,10,10,10,10,10,8,9,8,9,9,7,10,10,10,10,5,8,9,Ambivert
7/7/2025 10:12:31,10,5,10,7,10,10,8,10,9,7,8,10,9,10,7,7,10,10,8,7,10,7,10,10,10,8,8,6,8,Extrovert
7/7/2025 10:15:21,9,8,8,10,10,9,8,9,9,10,10,9,8,10,9,9,10,8,9,9,10,5,10,8,10,8,9,10,9,Extrovert
7/7/2025 10:15:32,3,7,7,8,7,3,8,9,6,7,10,7,7,10,8,7,7,6,7,3,5,10,1,7,4,10,7,7,4,Ambivert
